     atm_u           atm_v           atm_T           atm_q           R_net     
-7.62657940E-01  6.21135378E+00  2.93279999E+02  9.75133386E-03  -5.18540012E+01
-6.59573317E-01  6.27543306E+00  2.93299988E+02  9.75803565E-03  -5.17560013E+01
-1.02155173E+00  6.52349901E+00  2.93299988E+02  9.77143552E-03  -5.16580013E+01
-1.13359630E+00  6.63181305E+00  2.93320007E+02  9.77803580E-03  -5.15600014E+01
-1.27918231E+00  6.17693758E+00  2.93329987E+02  9.76483803E-03  -5.15213347E+01
-1.31482399E+00  6.03032494E+00  2.93320007E+02  9.76483803E-03  -5.14826681E+01
-1.28236103E+00  5.69029379E+00  2.93289978E+02  9.75194480E-03  -5.14440014E+01
-1.42147720E+00  6.01327229E+00  2.93229980E+02  9.75844171E-03  -5.14053347E+01
-1.18593621E+00  6.04476213E+00  2.93199982E+02  9.76514444E-03  -5.13666681E+01
-1.35311854E+00  5.90802765E+00  2.93160004E+02  9.76545084E-03  -5.13280014E+01
-1.51647341E+00  6.22082901E+00  2.93149994E+02  9.77854617E-03  -5.12893347E+01
-1.38097346E+00  5.98165798E+00  2.93130005E+02  9.78504401E-03  -5.12506681E+01
-1.50061429E+00  6.34804535E+00  2.93109985E+02  9.79205221E-03  -5.12120014E+01
-1.46374273E+00  6.54840088E+00  2.93119995E+02  9.80504788E-03  -5.11733348E+01
-1.59000611E+00  6.77902985E+00  2.93139984E+02  9.81835090E-03  -5.11346681E+01
-1.46876204E+00  6.41295385E+00  2.93169983E+02  9.79865249E-03  -5.10960014E+01
-1.54202127E+00  6.23102999E+00  2.93160004E+02  9.81133990E-03  -5.10573348E+01
-1.43968570E+00  6.23596907E+00  2.93130005E+02  9.80484299E-03  -5.10186681E+01
-1.51972950E+00  6.33012819E+00  2.93119995E+02  9.81133990E-03  -5.09800014E+01
-1.59981883E+00  6.36914968E+00  2.93100006E+02  9.83103830E-03  -5.09413348E+01
-1.70457327E+00  6.78619480E+00  2.93100006E+02  9.85084008E-03  -5.09026681E+01
-1.55118656E+00  6.61352205E+00  2.93119995E+02  9.85073764E-03  -5.08640015E+01
-1.60332751E+00  6.33629513E+00  2.93100006E+02  9.85104591E-03  -5.08253348E+01
-1.56399846E+00  6.13580751E+00  2.93109985E+02  9.85073764E-03  -5.07866681E+01
-1.68233824E+00  6.23502254E+00  2.93059998E+02  9.83753707E-03  -5.07480015E+01
