     atm_u           atm_v           atm_T           atm_q           R_net     
-9.48660278E+00  1.65567827E+00  2.93699982E+02  9.25700739E-03  -2.75633205E+01
-1.04559259E+01  1.24679542E+00  2.93699982E+02  9.25777573E-03  -2.76041005E+01
-1.03879385E+01  1.38604724E+00  2.93699982E+02  9.27087106E-03  -2.76448805E+01
-1.01923418E+01  1.41430390E+00  2.93690002E+02  9.26326588E-03  -2.76856606E+01
-9.46230888E+00  2.58859491E+00  2.93669983E+02  9.21686925E-03  -2.77264406E+01
-9.66142082E+00  2.01837730E+00  2.93669983E+02  9.20406543E-03  -2.77672206E+01
-9.19075489E+00  3.25461698E+00  2.93660004E+02  9.18319169E-03  -2.78080006E+01
-7.23528004E+00  3.22135472E+00  2.93630005E+02  9.20908246E-03  -2.78307139E+01
-7.74696207E+00  2.86568952E+00  2.93609985E+02  9.16327443E-03  -2.78534273E+01
-9.33693981E+00  3.10598660E+00  2.93600006E+02  9.08466801E-03  -2.78761406E+01
-8.93547153E+00  2.88608027E+00  2.93639984E+02  9.03934799E-03  -2.78988539E+01
-8.10187531E+00  2.29260039E+00  2.93639984E+02  9.04579461E-03  -2.79215673E+01
-7.76309061E+00  2.16749430E+00  2.93649994E+02  9.03262012E-03  -2.79442806E+01
-8.09556675E+00  2.49052119E+00  2.93669983E+02  9.00673680E-03  -2.79669940E+01
-9.28131676E+00  2.71404886E+00  2.93690002E+02  8.96179304E-03  -2.79897073E+01
-9.95821953E+00  2.20768404E+00  2.93750000E+02  8.92144442E-03  -2.80124207E+01
-1.00890245E+01  2.21821690E+00  2.93769989E+02  8.90247431E-03  -2.80351340E+01
-1.00834246E+01  2.05149698E+00  2.93760010E+02  8.87042657E-03  -2.80578473E+01
-9.13216972E+00  2.14193201E+00  2.93720001E+02  8.89547542E-03  -2.80805607E+01
-9.31003475E+00  2.79314542E+00  2.93660004E+02  8.88239872E-03  -2.81032740E+01
-9.45312595E+00  1.88892162E+00  2.93639984E+02  8.89464468E-03  -2.81259874E+01
-8.20603657E+00  2.88980174E+00  2.93600006E+02  8.89510661E-03  -2.81487007E+01
-9.54770851E+00  3.53180623E+00  2.93570007E+02  8.85533076E-03  -2.81714141E+01
-8.26074028E+00  2.46263337E+00  2.93539978E+02  8.88101850E-03  -2.81941274E+01
-8.40010357E+00  2.52015305E+00  2.93519989E+02  8.89400020E-03  -2.82168407E+01
-9.22116947E+00  2.52262664E+00  2.93500000E+02  8.86730105E-03  -2.82395541E+01
-7.36890697E+00  2.90269017E+00  2.93459991E+02  8.89979955E-03  -2.82622674E+01
-8.17633438E+00  3.38674831E+00  2.93429993E+02  8.89961515E-03  -2.82849808E+01
-8.21983433E+00  2.91079593E+00  2.93399994E+02  8.89289472E-03  -2.83076941E+01
-9.14227390E+00  2.79507399E+00  2.93389984E+02  8.85404646E-03  -2.83304075E+01
-8.95530224E+00  3.04863405E+00  2.93389984E+02  8.82735569E-03  -2.83531208E+01
-8.79181576E+00  2.57090855E+00  2.93389984E+02  8.82744696E-03  -2.83758341E+01
-8.21657085E+00  3.42022896E+00  2.93359985E+02  8.83389078E-03  -2.83985475E+01
-9.65737820E+00  3.34416771E+00  2.93320007E+02  8.81437771E-03  -2.84212608E+01
