     atm_u           atm_v           atm_T           atm_q           R_net     
-1.85159087E-01  -1.38770175E+00  2.89049988E+02  8.87737423E-03  -2.03572693E+01
-8.65120441E-02  -1.20690334E+00  2.89049988E+02  8.93521216E-03  -2.01790161E+01
-3.12867403E-01  -1.32352340E+00  2.88850006E+02  9.17351618E-03  -2.91682739E+01
-4.32623804E-01  -1.33147919E+00  2.88649994E+02  9.29384865E-03  -4.21638794E+01
-2.78781235E-01  -1.19799042E+00  2.88449982E+02  9.29293316E-03  -4.74144897E+01
-2.39502698E-01  -9.60592806E-01  2.88350006E+02  9.29201860E-03  -4.85861206E+01
-3.59722435E-01  -8.68446708E-01  2.88250000E+02  9.29201860E-03  -3.88454285E+01
-1.75260395E-01  -7.18946338E-01  2.88250000E+02  9.23032500E-03  -2.33649292E+01
-4.47276384E-01  -7.80988991E-01  2.88149994E+02  9.35223326E-03  -2.35850830E+01
-9.00617123E-01  -8.08077335E-01  2.87949982E+02  9.35223326E-03  -3.90192871E+01
-5.96844137E-01  -9.12073016E-01  2.88049988E+02  9.17080510E-03  -4.53165283E+01
-2.85049796E-01  -1.19651437E+00  2.88049988E+02  9.10982676E-03  -4.08109131E+01
-5.94870269E-01  -1.31138456E+00  2.88149994E+02  9.05010011E-03  -3.18751831E+01
-1.33000720E+00  -1.46679270E+00  2.88149994E+02  9.05010011E-03  -1.76970520E+01
-1.22746921E+00  -1.33019519E+00  2.88350006E+02  8.87212809E-03  -1.17411804E+01
-8.74658525E-01  -9.88621593E-01  2.88250000E+02  8.92993156E-03  -1.00581055E+01
-7.50712872E-01  -4.19559479E-01  2.88149994E+02  8.92993156E-03  -7.48077393E+00
-3.21054548E-01  -6.22032106E-01  2.88049988E+02  8.98806658E-03  -7.27828979E+00
-6.03811562E-01  -1.07159305E+00  2.87850006E+02  9.10713524E-03  -1.04516907E+01
-7.56157935E-01  -6.39003277E-01  2.87949982E+02  8.81205127E-03  -1.84161377E+01
-4.64606851E-01  -7.23699152E-01  2.87549988E+02  8.98806658E-03  -3.33181458E+01
-4.02246386E-01  -7.82686293E-01  2.87350006E+02  8.87037907E-03  -3.65545044E+01
-6.03170097E-01  -1.04894519E+00  2.87149994E+02  8.81205127E-03  -3.20922241E+01
-1.04386950E+00  -1.07718921E+00  2.87049988E+02  8.52462742E-03  -2.79105835E+01
-1.18523276E+00  -9.19360280E-01  2.87049988E+02  8.35668761E-03  -2.60476379E+01
-1.23097122E+00  -9.58284736E-01  2.87350006E+02  8.19248892E-03  -2.61346130E+01
-1.09532261E+00  -1.28699994E+00  2.87350006E+02  8.19248892E-03  -2.68381348E+01
-7.62296379E-01  -1.31502998E+00  2.87449982E+02  8.19248892E-03  -2.88976746E+01
-7.95149326E-01  -2.00831723E+00  2.87250000E+02  8.13892949E-03  -3.32885132E+01
-1.14800942E+00  -2.00453830E+00  2.87350006E+02  8.08488298E-03  -3.54112244E+01
-5.32662213E-01  -1.58277321E+00  2.86949982E+02  8.19329545E-03  -3.88517151E+01
 3.11622322E-01  -1.68136609E+00  2.86250000E+02  8.24717246E-03  -3.63659363E+01
-2.84620702E-01  -1.99984765E+00  2.86049988E+02  8.35751090E-03  -3.52423706E+01
-1.43556267E-01  -1.78423405E+00  2.86049988E+02  8.30299687E-03  -3.66056213E+01
 7.99377710E-02  -1.57797658E+00  2.85850006E+02  8.24717246E-03  -3.70735779E+01
-4.70403224E-01  -2.00557232E+00  2.85850006E+02  8.24798457E-03  -3.75945129E+01
-5.31738102E-01  -1.56197131E+00  2.86149994E+02  8.24879669E-03  -4.14929504E+01
-3.99729699E-01  -2.00045395E+00  2.85949982E+02  8.19329545E-03  -3.81397705E+01
-1.61625743E-01  -2.05364966E+00  2.85549988E+02  8.13892949E-03  -4.14366760E+01
-4.14828569E-01  -1.74126875E+00  2.85449982E+02  8.19410291E-03  -4.42835083E+01
-1.93013504E-01  -1.52785659E+00  2.85250000E+02  8.19410291E-03  -4.47672424E+01
 5.22072800E-02  -1.35899758E+00  2.85250000E+02  8.19410291E-03  -4.53138123E+01
 5.05676568E-02  -1.37907326E+00  2.84850006E+02  8.13973043E-03  -4.81595459E+01
 3.70337933E-01  -1.85336173E+00  2.84549988E+02  8.03194288E-03  -4.47867432E+01
 3.61713320E-01  -1.79389632E+00  2.84449982E+02  7.92464428E-03  -4.84677734E+01
-1.38750985E-01  -2.03527594E+00  2.84549988E+02  7.97852594E-03  -5.12971497E+01
-5.66946387E-01  -1.93880677E+00  2.84149994E+02  7.82015733E-03  -5.19149780E+01
-0.00000000E+00  -1.90999997E+00  2.84350006E+02  7.87263550E-03  -5.24422607E+01
 6.63242415E-02  -1.80878437E+00  2.84250000E+02  7.82015733E-03  -5.31408386E+01
-1.47284955E-01  -2.05472779E+00  2.83850006E+02  7.71537097E-03  -3.94082642E+01
-1.13045678E-01  -2.15703988E+00  2.84049988E+02  7.76722468E-03  -3.99416504E+01
-1.46435857E-01  -1.74386251E+00  2.83949982E+02  7.71537097E-03  -4.06567688E+01
 4.93391126E-01  -1.72065842E+00  2.83649994E+02  7.66457990E-03  -4.15320435E+01
 9.27665055E-01  -2.01688814E+00  2.83750000E+02  7.71613186E-03  -4.22589111E+01
 1.13007116E+00  -1.91084790E+00  2.83250000E+02  7.51175033E-03  -4.25878296E+01
 1.09237921E+00  -2.08067465E+00  2.83449982E+02  7.61333387E-03  -1.55266418E+01
 8.60806227E-01  -1.87152684E+00  2.83449982E+02  7.71689136E-03  -1.56863403E+01
 6.09081388E-01  -1.78916728E+00  2.83549988E+02  7.76875392E-03  -1.60040283E+01
 1.46155012E+00  -1.89102399E+00  2.83149994E+02  7.56313466E-03  -1.65005493E+01
 1.30552185E+00  -1.77076626E+00  2.83049988E+02  7.46214529E-03  -1.73558350E+01
 1.03426170E+00  -1.85059500E+00  2.83250000E+02  7.56313466E-03  -1.73637695E+01
 1.35883939E+00  -2.01456094E+00  2.82949982E+02  7.41209975E-03  -1.60982971E+01
 9.72512186E-01  -1.52653849E+00  2.83250000E+02  7.56239053E-03  -1.65165100E+01
 1.10936117E+00  -1.43018091E+00  2.83250000E+02  7.61333387E-03  -1.69142761E+01
 9.46441054E-01  -9.76652086E-01  2.83049988E+02  7.56239053E-03  -1.74700928E+01
 9.31722164E-01  -1.17553973E+00  2.83049988E+02  7.46141095E-03  -1.69093323E+01
 8.89900506E-01  -1.25685203E+00  2.82750000E+02  7.41137005E-03  -1.55095520E+01
 6.95238411E-02  -6.96538866E-01  2.82549988E+02  7.31218047E-03  -2.60758057E+01
-8.28711614E-02  -6.74931407E-01  2.82350006E+02  7.21416948E-03  -2.01914368E+01
 5.81029832E-01  -1.25172055E+00  2.82549988E+02  7.31218047E-03  -1.26381226E+01
 3.57714474E-01  -1.05078077E+00  2.82549988E+02  7.26302899E-03  7.17254639E-01
 5.89014769E-01  -8.93287003E-01  2.82949982E+02  7.41137005E-03  1.51363831E+01
 9.68830645E-01  -6.55947506E-01  2.83549988E+02  7.61258416E-03  2.19003601E+01
 2.76621401E-01  -8.56434762E-01  2.84250000E+02  8.03115405E-03  -1.12996216E+01
-2.02193633E-01  -4.02017057E-01  2.84750000E+02  8.13812856E-03  8.77291870E+00
-9.53086764E-02  -7.33836651E-01  2.85350006E+02  8.35751090E-03  2.90302429E+01
-3.21159535E-03  -9.19994414E-01  2.85850006E+02  8.46915133E-03  4.96694946E+01
 3.09088796E-01  -1.16985655E+00  2.86350006E+02  8.63909442E-03  7.01159973E+01
 1.56308889E-01  -1.05852139E+00  2.86949982E+02  8.81118327E-03  9.22701416E+01
 3.02553147E-01  -1.57113397E+00  2.87449982E+02  8.92817322E-03  7.86742859E+01
-2.61786096E-02  -1.49977160E+00  2.87750000E+02  8.98718182E-03  9.92247620E+01
-3.70830707E-02  -1.24944985E+00  2.88149994E+02  8.86863191E-03  1.04080658E+02
 9.25552964E-01  -1.18040323E+00  2.88549988E+02  9.04564466E-03  1.58634644E+02
 3.76850367E-02  -7.99111903E-01  2.89049988E+02  8.98629706E-03  1.64613983E+02
 4.66730744E-01  -1.13800812E+00  2.89350006E+02  8.98629706E-03  1.83956909E+02
 3.65641892E-01  -1.02684271E+00  2.89549988E+02  9.04564466E-03  1.86166718E+02
 5.28517485E-01  -9.30359781E-01  2.89850006E+02  8.81031528E-03  2.02969635E+02
 1.67899728E-01  -1.09722817E+00  2.90049988E+02  8.69469624E-03  2.27648224E+02
 2.99474187E-02  -1.55971241E+00  2.89949982E+02  8.58042389E-03  2.41866577E+02
 3.89941037E-01  -1.14544582E+00  2.90350006E+02  8.35504197E-03  9.45640869E+01
 7.48791575E-01  -1.94054401E+00  2.90250000E+02  8.35504197E-03  3.31667664E+02
-2.00234562E-01  -1.60757768E+00  2.90750000E+02  8.46665073E-03  4.02122681E+02
 8.85535419E-01  -1.43941903E+00  2.90850006E+02  8.24473798E-03  2.37968567E+02
 1.59631729E+00  -8.09858620E-01  2.90449982E+02  8.19007121E-03  1.25722046E+01
 1.17924917E+00  -1.23833430E+00  2.89850006E+02  8.13572481E-03  5.46918030E+01
 5.24235249E-01  -1.21143615E+00  2.90049988E+02  8.13572481E-03  2.91700073E+02
 2.03755713E+00  -6.54187679E-01  2.91250000E+02  7.55867036E-03  3.94510071E+02
 1.33982122E+00  -1.41682017E+00  2.91649994E+02  7.97460042E-03  4.35217285E+02
 2.19510436E+00  -1.04231346E+00  2.91250000E+02  7.50879338E-03  1.27322296E+02
 1.51252759E+00  -1.19881606E+00  2.91449982E+02  7.81784765E-03  4.14373291E+02
 2.91343406E-03  -1.66999745E+00  2.91449982E+02  7.40991207E-03  4.15928070E+02
 1.30637610E+00  -4.44726348E-01  2.91850006E+02  7.61258416E-03  4.44547394E+02
 1.23490977E+00  -2.96475738E-01  2.92049988E+02  7.56164547E-03  4.63291077E+02
 1.18548942E+00  -1.75755930E+00  2.92149994E+02  7.66457990E-03  4.73478149E+02
 1.14255083E+00  -2.12195158E+00  2.92149994E+02  7.66533427E-03  4.73377930E+02
 1.24568343E+00  -1.28544652E+00  2.92649994E+02  7.71689136E-03  5.41586243E+02
 7.75946140E-01  -3.88323402E+00  2.92350006E+02  8.47165473E-03  3.75480194E+02
 1.65162039E+00  -4.06746197E+00  2.91449982E+02  7.87340943E-03  3.06037018E+02
 9.63028669E-01  -3.64492464E+00  2.91949982E+02  7.56239053E-03  3.38374878E+02
 7.64768124E-01  -3.21016026E+00  2.91049988E+02  7.56239053E-03  1.15759521E+02
 1.15370977E+00  -3.38900471E+00  2.90850006E+02  7.76875392E-03  9.54736328E+01
 2.50459814E+00  -2.87107778E+00  2.90850006E+02  8.19490943E-03  1.21722778E+02
 2.37599587E+00  -3.53585172E+00  2.90750000E+02  7.92620424E-03  1.88997864E+02
 1.93724191E+00  -3.39635015E+00  2.91350006E+02  7.98009802E-03  2.95788635E+02
-6.24796115E-02  -3.57945466E+00  2.91649994E+02  7.87418522E-03  4.56249817E+02
 1.03314912E+00  -2.86968684E+00  2.91850006E+02  7.82246701E-03  3.38014679E+02
-6.08014837E-02  -2.67931032E+00  2.91949982E+02  7.87573680E-03  3.78922211E+02
 1.22017205E+00  -2.65284395E+00  2.91549988E+02  8.03510845E-03  9.37110596E+01
 9.71658155E-02  -3.47864318E+00  2.91649994E+02  8.36245064E-03  2.34524567E+02
-6.33522347E-02  -3.62944722E+00  2.91250000E+02  8.25286098E-03  1.07594543E+02
