     atm_u           atm_v           atm_T           atm_q     
-3.14138000E+00  -6.57042000E-01   2.91805000E+02   9.77680000E-03
-3.82230000E+00  -3.95954000E-01   2.92257000E+02   9.74020000E-03
-3.37549000E+00   5.74110000E-01   2.91689000E+02   9.78365000E-03
-2.99233000E+00   7.05385000E-01   2.91420000E+02   9.80712000E-03
-4.45395000E+00  -2.68462000E-01   2.92104000E+02   9.75025000E-03
-3.20503000E+00   3.47519000E-01   2.92066000E+02   9.75177000E-03
-1.95879000E+00  -6.55119000E-01   2.91018000E+02   9.82806000E-03
-3.67143000E+00   4.72489000E-02   2.91986000E+02   9.75771000E-03
-4.15772000E+00   3.38853000E-02   2.92129000E+02   9.74581000E-03
-3.04518000E+00  -5.10568000E-01   2.91345000E+02   9.81336000E-03
-2.85947000E+00  -1.12698000E+00   2.91052000E+02   9.83450000E-03
-2.64083000E+00   2.90307000E-01   2.91522000E+02   9.79233000E-03
-3.70719000E+00  -8.98810000E-01   2.91338000E+02   9.81275000E-03
-3.82282000E+00  -3.83657000E-01   2.92430000E+02   9.72397000E-03
-4.20149000E+00   7.77673000E-01   2.91755000E+02   9.77828000E-03
-2.70387000E+00  -4.09224000E-01   2.91407000E+02   9.81048000E-03
-2.93079000E+00  -2.27765000E-01   2.91661000E+02   9.78757000E-03
-2.57191000E+00   6.79272000E-01   2.91450000E+02   9.80789000E-03
-2.92907000E+00  -7.20678000E-01   2.91831000E+02   9.77619000E-03
-3.33989000E+00  -2.90640000E-01   2.92110000E+02   9.75158000E-03
-2.83931000E+00  -7.71199000E-01   2.91495000E+02   9.80201000E-03
-2.67193000E+00  -6.41763000E-02   2.91718000E+02   9.78745000E-03
-2.64071000E+00   1.93065000E-01   2.91711000E+02   9.78879000E-03
-3.13353000E+00  -1.78222000E-01   2.91952000E+02   9.76763000E-03
-2.37986000E+00  -3.99202000E-01   2.91429000E+02   9.80820000E-03
-4.38187000E+00   2.60018000E-01   2.91382000E+02   9.81109000E-03
-3.67169000E+00   1.82138000E-01   2.92440000E+02   9.72612000E-03
-3.51447000E+00  -4.56220000E-01   2.91394000E+02   9.81030000E-03
-2.71718000E+00   6.07036000E-02   2.91777000E+02   9.78040000E-03
-4.19570000E+00  -2.78889000E-01   2.91881000E+02   9.77115000E-03
-3.00848000E+00   6.27080000E-01   2.91327000E+02   9.81814000E-03
-3.27902000E+00   1.73803000E-01   2.91664000E+02   9.78624000E-03
-3.46902000E+00  -3.52178000E-01   2.91493000E+02   9.80160000E-03
-2.62426000E+00   3.81879000E-02   2.91328000E+02   9.81597000E-03
-3.53402000E+00  -6.47905000E-01   2.92206000E+02   9.74064000E-03
-2.58623000E+00  -2.51783000E-01   2.91747000E+02   9.77743000E-03
-3.08165000E+00  -4.96284000E-01   2.91842000E+02   9.77351000E-03
-3.50954000E+00   6.56614000E-02   2.91788000E+02   9.77608000E-03
-2.42969000E+00  -8.14707000E-02   2.91770000E+02   9.78027000E-03
-3.93339000E+00  -2.04265000E-01   2.92112000E+02   9.75161000E-03
-2.91679000E+00   5.25060000E-01   2.91761000E+02   9.78009000E-03
-3.09441000E+00  -5.30816000E-01   2.91561000E+02   9.79851000E-03
-3.25035000E+00   1.39784000E-01   2.91842000E+02   9.77213000E-03
-2.94599000E+00   8.35098000E-02   2.91671000E+02   9.78871000E-03
-3.96871000E+00   6.82726000E-02   2.92207000E+02   9.74195000E-03
-3.42283000E+00   4.54155000E-01   2.91529000E+02   9.79908000E-03
-3.21950000E+00  -7.52586000E-02   2.91676000E+02   9.78920000E-03
-3.28060000E+00   1.86483000E-01   2.91531000E+02   9.79987000E-03
-3.35487000E+00  -2.12680000E-01   2.91600000E+02   9.79509000E-03
-3.12299000E+00  -3.58556000E-01   2.91429000E+02   9.81189000E-03
-3.78750000E+00  -7.13884000E-01   2.91790000E+02   9.77968000E-03
-3.21870000E+00   5.15657000E-02   2.92189000E+02   9.74599000E-03
-2.82245000E+00  -3.89141000E-02   2.91711000E+02   9.78569000E-03
-3.43083000E+00   8.26216000E-02   2.91600000E+02   9.79659000E-03
-3.49011000E+00  -2.13563000E-02   2.91898000E+02   9.76914000E-03
-2.10792000E+00   4.04548000E-01   2.91308000E+02   9.82415000E-03
-2.93751000E+00  -1.67930000E-01   2.91349000E+02   9.81968000E-03
-3.76303000E+00  -4.64318000E-01   2.91981000E+02   9.76230000E-03
-3.06237000E+00   1.95688000E-01   2.91490000E+02   9.80463000E-03
-2.75043000E+00   8.83662000E-02   2.91350000E+02   9.81735000E-03
-3.33475000E+00   4.13293000E-01   2.91724000E+02   9.78505000E-03
-3.08106000E+00  -1.83121000E-01   2.91728000E+02   9.78557000E-03
-2.42889000E+00   4.60633000E-02   2.91169000E+02   9.83259000E-03
-2.44247000E+00  -2.40591000E-02   2.91149000E+02   9.83282000E-03
-3.81683000E+00   2.72655000E-02   2.92033000E+02   9.75655000E-03
-3.07214000E+00  -1.45917000E-01   2.91433000E+02   9.80661000E-03
-3.22914000E+00  -1.44666000E-01   2.91325000E+02   9.81682000E-03
-3.22331000E+00  -6.66574000E-01   2.91378000E+02   9.81638000E-03
-2.97780000E+00  -5.67458000E-02   2.91867000E+02   9.76957000E-03
-2.79788000E+00   3.03213000E-01   2.91498000E+02   9.80331000E-03
-3.76293000E+00  -4.83606000E-01   2.91308000E+02   9.82063000E-03
-3.33283000E+00   1.35659000E-01   2.91835000E+02   9.77570000E-03
-3.26086000E+00   9.15845000E-01   2.92407000E+02   9.72355000E-03
-3.86397000E+00  -4.49086000E-01   2.92239000E+02   9.73727000E-03
-3.78522000E+00   5.97108000E-01   2.92004000E+02   9.76011000E-03
-3.73775000E+00  -1.99260000E-01   2.91568000E+02   9.79491000E-03
-3.12018000E+00  -6.81685000E-01   2.91487000E+02   9.80491000E-03
-3.45826000E+00  -1.91933000E-01   2.91874000E+02   9.77195000E-03
-3.03937000E+00   1.25202000E-01   2.91227000E+02   9.82772000E-03
-3.28132000E+00  -4.97278000E-01   2.91852000E+02   9.77292000E-03
-3.03775000E+00  -4.24189000E-01   2.91848000E+02   9.76996000E-03
-3.18338000E+00   9.81283000E-01   2.91565000E+02   9.79865000E-03
-3.14846000E+00  -1.22662000E-01   2.91531000E+02   9.80139000E-03
